DATE,MONTH,RainToday,RainTomorrow,BASEL_pressure,BASEL_humidity,BASEL_temp_mean,BASEL_sunshine,BASEL_pressure_lag1,BASEL_humidity_lag1,BASEL_temp_mean_lag1,BASEL_sunshine_lag1
2000-01-02,1,0,0,1.0318,0.87,3.6,0.0,1.0286,0.89,2.9,0.0
2000-01-03,1,0,1,1.0314,0.81,2.2,3.7,1.0318,0.87,3.6,0.0
2000-01-04,1,1,1,1.0262,0.79,3.9,6.9,1.0314,0.81,2.2,3.7
2000-01-05,1,1,0,1.0246,0.9,6.0,3.7,1.0262,0.79,3.9,6.9
2000-01-06,1,0,0,1.0244,0.85,4.2,5.7,1.0246,0.9,6.0,3.7
2000-01-07,1,0,0,1.0267,0.84,4.7,0.0,1.0244,0.85,4.2,5.7
2000-01-08,1,0,1,1.0248,0.79,5.6,4.3,1.0267,0.84,4.7,0.0
2000-01-09,1,1,1,1.0243,0.88,4.6,0.0,1.0248,0.79,5.6,4.3
2000-01-10,1,1,0,1.0337,0.91,2.4,0.0,1.0243,0.88,4.6,0.0
2000-01-11,1,0,0,1.0373,0.88,3.2,0.0,1.0337,0.91,2.4,0.0
2000-01-12,1,0,0,1.0319,0.77,2.4,0.0,1.0373,0.88,3.2,0.0
2000-01-13,1,0,0,1.0226,0.78,1.7,7.5,1.0319,0.77,2.4,0.0
2000-01-14,1,0,0,1.023,0.8,0.6,7.6,1.0226,0.78,1.7,7.5
2000-01-15,1,0,0,1.0311,0.85,-1.3,2.8,1.023,0.8,0.6,7.6
2000-01-16,1,0,0,1.0346,0.8,-0.4,0.3,1.0311,0.85,-1.3,2.8
2000-01-17,1,0,1,1.0328,0.79,0.9,0.1,1.0346,0.8,-0.4,0.3
2000-01-18,1,1,0,1.0267,0.83,4.5,0.0,1.0328,0.79,0.9,0.1
2000-01-19,1,0,0,1.0307,0.69,2.4,0.7,1.0267,0.83,4.5,0.0
2000-01-20,1,0,0,1.0333,0.72,0.4,3.2,1.0307,0.69,2.4,0.7
2000-01-21,1,0,1,1.0297,0.74,2.5,0.0,1.0333,0.72,0.4,3.2
2000-01-22,1,1,1,1.017,0.8,3.1,0.0,1.0297,0.74,2.5,0.0
2000-01-23,1,1,1,1.0151,0.86,2.0,0.0,1.017,0.8,3.1,0.0
2000-01-24,1,1,0,1.0235,0.78,-4.0,0.0,1.0151,0.86,2.0,0.0
2000-01-25,1,0,0,1.0302,0.61,-6.5,8.1,1.0235,0.78,-4.0,0.0
2000-01-26,1,0,0,1.0354,0.71,-6.8,8.1,1.0302,0.61,-6.5,8.1
2000-01-27,1,0,0,1.0342,0.76,-5.2,8.4,1.0354,0.71,-6.8,8.1
2000-01-28,1,0,1,1.0269,0.78,-1.7,2.2,1.0342,0.76,-5.2,8.4
2000-01-29,1,1,1,1.0166,0.65,7.4,0.0,1.0269,0.78,-1.7,2.2
2000-01-30,1,1,0,1.0224,0.74,10.0,0.0,1.0166,0.65,7.4,0.0
2000-01-31,1,0,0,1.0304,0.74,8.1,1.6,1.0224,0.74,10.0,0.0
2000-02-01,2,0,1,1.0248,0.84,5.4,5.8,1.0304,0.74,8.1,1.6
2000-02-02,2,1,0,1.0221,0.89,5.5,0.0,1.0248,0.84,5.4,5.8
2000-02-03,2,0,0,1.0361,0.74,5.2,2.9,1.0221,0.89,5.5,0.0
2000-02-04,2,0,0,1.0391,0.78,3.3,8.3,1.0361,0.74,5.2,2.9
2000-02-05,2,0,0,1.0343,0.65,6.9,8.1,1.0391,0.78,3.3,8.3
2000-02-06,2,0,1,1.0274,0.7,6.0,3.0,1.0343,0.65,6.9,8.1
2000-02-07,2,1,1,1.0239,0.67,7.6,0.3,1.0274,0.7,6.0,3.0
2000-02-08,2,1,1,1.017,0.72,11.4,0.1,1.0239,0.67,7.6,0.3
2000-02-09,2,1,1,1.0281,0.72,5.6,1.9,1.017,0.72,11.4,0.1
2000-02-10,2,1,1,1.0264,0.67,6.2,8.0,1.0281,0.72,5.6,1.9
2000-02-11,2,1,1,1.0286,0.84,4.2,0.0,1.0264,0.67,6.2,8.0
2000-02-12,2,1,1,1.0297,0.71,2.8,0.4,1.0286,0.84,4.2,0.0
2000-02-13,2,1,1,1.025,0.77,5.6,0.0,1.0297,0.71,2.8,0.4
2000-02-14,2,1,1,1.0252,0.82,7.0,0.7,1.025,0.77,5.6,0.0
2000-02-15,2,1,1,1.0197,0.8,8.3,1.2,1.0252,0.82,7.0,0.7
2000-02-16,2,1,1,1.0103,0.79,4.4,1.5,1.0197,0.8,8.3,1.2
2000-02-17,2,1,1,1.0134,0.78,2.1,0.9,1.0103,0.79,4.4,1.5
2000-02-18,2,1,1,1.0127,0.8,4.2,0.1,1.0134,0.78,2.1,0.9
2000-02-19,2,1,1,1.0123,0.77,6.0,0.4,1.0127,0.8,4.2,0.1
2000-02-20,2,1,0,1.0269,0.85,1.9,0.0,1.0123,0.77,6.0,0.4
2000-02-21,2,0,0,1.031,0.72,1.3,8.5,1.0269,0.85,1.9,0.0
2000-02-22,2,0,0,1.0273,0.68,2.1,9.6,1.031,0.72,1.3,8.5
2000-02-23,2,0,0,1.0289,0.67,2.7,1.8,1.0273,0.68,2.1,9.6
2000-02-24,2,0,1,1.0306,0.76,3.5,0.0,1.0289,0.67,2.7,1.8
2000-02-25,2,1,1,1.0287,0.76,9.5,0.0,1.0306,0.76,3.5,0.0
2000-02-26,2,1,0,1.0315,0.85,7.4,0.0,1.0287,0.76,9.5,0.0
2000-02-27,2,0,1,1.0283,0.76,9.0,9.0,1.0315,0.85,7.4,0.0
2000-02-28,2,1,1,1.0219,0.61,11.0,8.5,1.0283,0.76,9.0,9.0
2000-02-29,2,1,1,1.0179,0.8,8.1,0.0,1.0219,0.61,11.0,8.5
2000-03-01,3,1,0,1.0099,0.81,5.8,0.0,1.0179,0.8,8.1,0.0
2000-03-02,3,0,1,1.0258,0.64,4.4,3.8,1.0099,0.81,5.8,0.0
2000-03-03,3,1,0,1.0185,0.59,7.5,0.1,1.0258,0.64,4.4,3.8
2000-03-04,3,0,0,1.0234,0.61,5.1,7.1,1.0185,0.59,7.5,0.1
2000-03-05,3,0,0,1.0357,0.54,1.7,10.6,1.0234,0.61,5.1,7.1
2000-03-06,3,0,0,1.0322,0.56,3.9,10.6,1.0357,0.54,1.7,10.6
2000-03-07,3,0,1,1.0299,0.61,6.4,10.5,1.0322,0.56,3.9,10.6
2000-03-08,3,1,0,1.0306,0.68,9.2,2.4,1.0299,0.61,6.4,10.5
2000-03-09,3,0,0,1.0278,0.53,14.1,3.9,1.0306,0.68,9.2,2.4
2000-03-10,3,0,0,1.0283,0.74,10.3,2.1,1.0278,0.53,14.1,3.9
2000-03-11,3,0,0,1.0225,0.66,11.1,5.9,1.0283,0.74,10.3,2.1
2000-03-12,3,0,1,1.0243,0.65,9.3,6.9,1.0225,0.66,11.1,5.9
2000-03-13,3,1,1,1.026,0.69,7.5,9.8,1.0243,0.65,9.3,6.9
2000-03-14,3,1,0,1.0242,0.7,10.5,0.4,1.026,0.69,7.5,9.8
2000-03-15,3,0,1,1.0306,0.61,5.4,4.0,1.0242,0.7,10.5,0.4
2000-03-16,3,1,1,1.032,0.73,5.4,0.0,1.0306,0.61,5.4,4.0
2000-03-17,3,1,1,1.0285,0.78,8.1,0.0,1.032,0.73,5.4,0.0
2000-03-18,3,1,0,1.0268,0.79,7.4,0.0,1.0285,0.78,8.1,0.0
2000-03-19,3,0,0,1.0287,0.79,6.5,0.3,1.0268,0.79,7.4,0.0
2000-03-20,3,0,0,1.0257,0.5,6.9,9.8,1.0287,0.79,6.5,0.3
2000-03-21,3,0,0,1.0217,0.56,8.2,11.1,1.0257,0.5,6.9,9.8
2000-03-22,3,0,1,1.019,0.54,10.3,11.0,1.0217,0.56,8.2,11.1
2000-03-23,3,1,0,1.0148,0.6,11.0,3.0,1.019,0.54,10.3,11.0
2000-03-24,3,0,0,1.014,0.65,11.1,1.8,1.0148,0.6,11.0,3.0
2000-03-25,3,0,1,1.0158,0.62,10.9,8.2,1.014,0.65,11.1,1.8
2000-03-26,3,1,1,1.0127,0.69,8.0,0.9,1.0158,0.62,10.9,8.2
2000-03-27,3,1,1,1.0089,0.74,6.0,2.1,1.0127,0.69,8.0,0.9
2000-03-28,3,1,1,1.0104,0.78,5.7,0.6,1.0089,0.74,6.0,2.1
2000-03-29,3,1,0,1.0083,0.87,3.8,0.0,1.0104,0.78,5.7,0.6
2000-03-30,3,0,1,1.0133,0.7,5.7,0.0,1.0083,0.87,3.8,0.0
2000-03-31,3,1,0,1.0088,0.61,8.7,5.3,1.0133,0.7,5.7,0.0
2000-04-01,4,0,1,1.008,0.77,7.1,1.2,1.0088,0.61,8.7,5.3
2000-04-02,4,1,0,1.0028,0.62,9.2,10.7,1.008,0.77,7.1,1.2
2000-04-03,4,0,1,0.992,0.6,12.9,3.9,1.0028,0.62,9.2,10.7
2000-04-04,4,1,1,0.9942,0.68,11.5,4.8,0.992,0.6,12.9,3.9
2000-04-05,4,1,0,1.0063,0.84,8.6,0.0,0.9942,0.68,11.5,4.8
2000-04-06,4,0,0,1.0242,0.84,3.8,0.0,1.0063,0.84,8.6,0.0
2000-04-07,4,0,0,1.0289,0.63,5.9,12.3,1.0242,0.84,3.8,0.0
2000-04-08,4,0,0,1.0216,0.53,9.1,12.4,1.0289,0.63,5.9,12.3
2000-04-09,4,0,1,1.0097,0.55,10.3,5.8,1.0216,0.53,9.1,12.4
2000-04-10,4,1,1,1.0059,0.59,10.2,4.7,1.0097,0.55,10.3,5.8
2000-04-11,4,1,1,0.9987,0.77,9.6,1.8,1.0059,0.59,10.2,4.7
2000-04-12,4,1,1,0.9972,0.64,8.4,6.5,0.9987,0.77,9.6,1.8
2000-04-13,4,1,0,1.0026,0.81,8.3,0.1,0.9972,0.64,8.4,6.5
2000-04-14,4,0,1,1.0007,0.69,12.5,9.4,1.0026,0.81,8.3,0.1
2000-04-15,4,1,1,1.0029,0.67,10.0,1.0,1.0007,0.69,12.5,9.4
2000-04-16,4,1,1,1.0023,0.75,8.6,1.9,1.0029,0.67,10.0,1.0
2000-04-17,4,1,0,1.0076,0.76,9.6,0.0,1.0023,0.75,8.6,1.9
2000-04-18,4,0,0,1.0112,0.75,9.6,0.4,1.0076,0.76,9.6,0.0
